,Station ID,Location,Temperature [°C],Relative Humidity [%],WBGT Reading,WBGT Code,Updated At
0,S24,Upper Changi Road North,23.4,91.5,29,WHITE,2023-05-17T14:19:00+08:00
1,S43,Kim Chuan Road,26.1,89.3,32,RED,2023-05-17T14:19:00+08:00
2,S44,Nanyang Avenue,27.9,77.0,32,RED,2023-05-17T14:20:00+08:00
3,S50,Clementi Road,29.4,72.8,33,BLACK,2023-05-17T14:20:00+08:00
4,S60,Sentosa,30.6,67.9,34,BLACK,2023-05-17T14:19:00+08:00
5,S104,Woodlands Avenue 9,27.5,79.4,32,RED,2023-05-17T14:20:00+08:00
6,S106,Pulau Ubin,23.6,92.9,29,WHITE,2023-05-17T14:20:00+08:00
7,S107,East Coast Parkway,25.7,82.6,29,WHITE,2023-05-17T14:19:00+08:00
8,S109,Ang Mo Kio Avenue 5,25.7,87.8,29,WHITE,2023-05-17T14:19:00+08:00
9,S111,Scotts Road,29.0,74.0,32,RED,2023-05-17T14:19:00+08:00
10,S115,Tuas South Avenue 3,29.3,66.4,33,BLACK,2023-05-17T14:19:00+08:00
11,S116,West Coast Highway,30.2,71.3,35,BLACK,2023-05-17T14:20:00+08:00
12,S117,Banyan Road,29.1,66.4,33,BLACK,2023-05-17T14:19:00+08:00
13,S121,Old Choa Chu Kang Road,28.8,77.2,33,BLACK,2023-05-17T14:19:00+08:00
